action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent
Layup Shot,Layup,106,20201086,34.0443,0,0,-118.2698,0,1,0,2002-03,8,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,108,20201086,33.4953,-94,549,-118.3638,0,1,0,2002-03,0,55,0,3PT Field Goal,Back Court(BC),Backcourt,Back Court Shot,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,123,20201086,33.8813,115,163,-118.1548,11,2,0,2002-03,1,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,128,20201086,33.9533,202,91,-118.0678,10,2,0,2002-03,9,22,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,183,20201086,33.8683,143,176,-118.1268,4,2,0,2002-03,26,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,206,20201086,33.8943,-122,150,-118.3918,2,2,0,2002-03,16,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,211,20201086,33.9883,29,56,-118.2408,1,2,0,2002-03,32,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,276,20201086,33.9043,146,140,-118.1238,7,3,0,2002-03,8,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/3/03,LAL @ DAL,DAL
Running Finger Roll Shot,Layup,309,20201086,34.0013,-13,43,-118.2828,4,3,0,2002-03,46,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,373,20201086,33.8653,-186,179,-118.4558,0,3,0,2002-03,0,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/3/03,LAL @ DAL,DAL
Driving Layup Shot,Layup,378,20201086,34.0443,0,0,-118.2698,11,4,0,2002-03,50,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,381,20201086,34.0533,-156,-9,-118.4258,11,4,0,2002-03,19,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,389,20201086,33.9033,-26,141,-118.2958,10,4,0,2002-03,18,14,1,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,396,20201086,34.0093,154,35,-118.1158,9,4,0,2002-03,18,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/3/03,LAL @ DAL,DAL
Reverse Layup Shot,Layup,399,20201086,34.0443,0,0,-118.2698,8,4,0,2002-03,41,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,422,20201086,33.8993,-38,145,-118.3078,5,4,0,2002-03,56,14,0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,4/3/03,LAL @ DAL,DAL
Jump Shot,Jump Shot,10,20201093,33.8843,194,160,-118.0758,10,1,0,2002-03,0,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/4/03,LAL @ MEM,MEM
Driving Dunk Shot,Dunk,28,20201093,34.0443,0,0,-118.2698,6,1,0,2002-03,47,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/4/03,LAL @ MEM,MEM
Jump Shot,Jump Shot,35,20201093,33.8803,189,164,-118.0808,5,1,0,2002-03,58,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/4/03,LAL @ MEM,MEM
Jump Shot,Jump Shot,109,20201093,33.9223,171,122,-118.0988,11,2,0,2002-03,26,21,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/4/03,LAL @ MEM,MEM
Turnaround Jump Shot,Jump Shot,220,20201093,33.9883,-49,56,-118.3188,0,2,0,2002-03,31,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/4/03,LAL @ MEM,MEM
Reverse Dunk Shot,Dunk,247,20201093,34.0443,0,0,-118.2698,9,3,0,2002-03,44,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/4/03,LAL @ MEM,MEM
Running Jump Shot,Jump Shot,258,20201093,33.9833,-36,61,-118.3058,8,3,0,2002-03,33,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/4/03,LAL @ MEM,MEM
Jump Shot,Jump Shot,274,20201093,33.9953,54,49,-118.2158,6,3,0,2002-03,38,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/4/03,LAL @ MEM,MEM
Driving Layup Shot,Layup,330,20201093,34.0443,0,0,-118.2698,1,3,0,2002-03,28,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/4/03,LAL @ MEM,MEM
Jump Shot,Jump Shot,419,20201093,33.8013,10,243,-118.2598,5,4,0,2002-03,48,24,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,4/4/03,LAL @ MEM,MEM
Jump Shot,Jump Shot,452,20201093,33.9583,-222,86,-118.4918,2,4,0,2002-03,24,23,0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,4/4/03,LAL @ MEM,MEM
Driving Layup Shot,Layup,465,20201093,34.0443,0,0,-118.2698,1,4,0,2002-03,8,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/4/03,LAL @ MEM,MEM
Layup Shot,Layup,474,20201093,34.0443,0,0,-118.2698,0,4,0,2002-03,26,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/4/03,LAL @ MEM,MEM
Jump Shot,Jump Shot,486,20201093,33.8863,-136,158,-118.4058,0,4,0,2002-03,0,20,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/4/03,LAL @ MEM,MEM
Turnaround Jump Shot,Jump Shot,11,20201113,33.8803,71,164,-118.1988,10,1,0,2002-03,28,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/6/03,LAL vs. PHX,PHX
Running Dunk Shot,Dunk,17,20201113,34.0443,0,0,-118.2698,9,1,0,2002-03,52,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/6/03,LAL vs. PHX,PHX
Driving Layup Shot,Layup,40,20201113,34.0443,0,0,-118.2698,7,1,0,2002-03,21,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,46,20201113,33.7793,0,265,-118.2698,6,1,0,2002-03,52,26,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,63,20201113,34.0183,223,26,-118.0468,5,1,0,2002-03,2,22,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,67,20201113,33.9783,136,66,-118.1338,4,1,0,2002-03,43,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,109,20201113,33.8303,151,214,-118.1188,0,1,0,2002-03,29,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,127,20201113,33.9403,-113,104,-118.3828,11,2,0,2002-03,1,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/6/03,LAL vs. PHX,PHX
Layup Shot,Layup,252,20201113,34.0443,0,0,-118.2698,1,2,0,2002-03,46,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/6/03,LAL vs. PHX,PHX
Alley Oop Dunk Shot,Dunk,262,20201113,34.0443,0,0,-118.2698,1,2,0,2002-03,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,307,20201113,33.9753,-140,69,-118.4098,10,3,0,2002-03,7,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,400,20201113,33.9243,-135,120,-118.4048,0,3,0,2002-03,0,18,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,415,20201113,33.8553,-195,189,-118.4648,10,4,0,2002-03,13,27,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,431,20201113,33.9723,167,72,-118.1028,8,4,0,2002-03,18,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,484,20201113,33.8153,136,229,-118.1338,3,4,0,2002-03,22,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,505,20201113,33.9063,108,138,-118.1618,0,4,0,2002-03,49,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,532,20201113,33.9623,-126,82,-118.3958,4,5,0,2002-03,43,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,536,20201113,33.9293,79,115,-118.1908,4,5,0,2002-03,7,13,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,4/6/03,LAL vs. PHX,PHX
Driving Layup Shot,Layup,545,20201113,34.0443,0,0,-118.2698,3,5,0,2002-03,26,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,552,20201113,34.0323,-156,12,-118.4258,2,5,0,2002-03,49,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,567,20201113,33.8153,140,229,-118.1298,1,5,0,2002-03,12,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,582,20201113,33.8523,95,192,-118.1748,0,5,0,2002-03,28,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/6/03,LAL vs. PHX,PHX
Jump Shot,Jump Shot,209,20201123,33.9113,69,133,-118.2008,1,2,0,2002-03,55,14,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,4/8/03,LAL vs. DAL,DAL
Running Jump Shot,Jump Shot,227,20201123,33.9163,95,128,-118.1748,0,2,0,2002-03,58,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/8/03,LAL vs. DAL,DAL
Jump Shot,Jump Shot,236,20201123,33.7993,89,245,-118.1808,0,2,0,2002-03,5,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/8/03,LAL vs. DAL,DAL
Jump Shot,Jump Shot,259,20201123,33.7833,-2,261,-118.2718,9,3,0,2002-03,58,26,1,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,4/8/03,LAL vs. DAL,DAL
Jump Shot,Jump Shot,264,20201123,33.9953,-123,49,-118.3928,8,3,0,2002-03,39,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/8/03,LAL vs. DAL,DAL
Jump Shot,Jump Shot,290,20201123,33.8533,-172,191,-118.4418,5,3,0,2002-03,56,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/8/03,LAL vs. DAL,DAL
Jump Shot,Jump Shot,305,20201123,33.9883,54,56,-118.2158,4,3,0,2002-03,14,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/8/03,LAL vs. DAL,DAL
Layup Shot,Layup,313,20201123,34.0443,0,0,-118.2698,3,3,0,2002-03,22,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/8/03,LAL vs. DAL,DAL
Jump Shot,Jump Shot,344,20201123,33.9583,-26,86,-118.2958,1,3,0,2002-03,21,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,4/8/03,LAL vs. DAL,DAL
Running Jump Shot,Jump Shot,368,20201123,33.9403,-16,104,-118.2858,11,4,0,2002-03,45,10,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,4/8/03,LAL vs. DAL,DAL
Running Jump Shot,Jump Shot,394,20201123,33.8783,112,166,-118.1578,9,4,0,2002-03,31,20,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/8/03,LAL vs. DAL,DAL
Jump Shot,Jump Shot,399,20201123,34.0183,161,26,-118.1088,8,4,0,2002-03,48,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/8/03,LAL vs. DAL,DAL
Layup Shot,Layup,460,20201123,34.0443,0,0,-118.2698,2,4,0,2002-03,21,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/8/03,LAL vs. DAL,DAL
Slam Dunk Shot,Dunk,8,20201136,34.0443,0,0,-118.2698,10,1,0,2002-03,56,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,32,20201136,33.9573,-6,87,-118.2758,7,1,0,2002-03,27,8,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,41,20201136,33.8843,-107,160,-118.3768,6,1,0,2002-03,32,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,77,20201136,33.8533,174,191,-118.0958,2,1,0,2002-03,19,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,121,20201136,34.0653,144,-21,-118.1258,10,2,0,2002-03,59,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,128,20201136,33.9423,176,102,-118.0938,10,2,0,2002-03,19,20,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,199,20201136,33.8533,164,191,-118.1058,2,2,0,2002-03,38,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/10/03,LAL vs. SAC,SAC
Driving Layup Shot,Layup,234,20201136,34.0443,0,0,-118.2698,0,2,0,2002-03,6,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,243,20201136,33.8533,-161,191,-118.4308,11,3,0,2002-03,26,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,248,20201136,34.0523,133,-8,-118.1368,11,3,0,2002-03,1,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/10/03,LAL vs. SAC,SAC
Layup Shot,Layup,253,20201136,34.0443,0,0,-118.2698,10,3,0,2002-03,33,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,265,20201136,33.9733,130,71,-118.1398,9,3,0,2002-03,21,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/10/03,LAL vs. SAC,SAC
Alley Oop Dunk Shot,Dunk,295,20201136,34.0443,0,0,-118.2698,5,3,0,2002-03,53,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,303,20201136,33.8123,117,232,-118.1528,5,3,0,2002-03,18,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/10/03,LAL vs. SAC,SAC
Tip Shot,Tip Shot,311,20201136,34.0443,0,0,-118.2698,4,3,0,2002-03,29,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,318,20201136,33.9523,161,92,-118.1088,4,3,0,2002-03,13,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,354,20201136,33.9783,23,66,-118.2468,1,3,0,2002-03,32,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Driving Layup Shot,Layup,356,20201136,34.0443,0,0,-118.2698,1,3,0,2002-03,22,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Turnaround Jump Shot,Jump Shot,384,20201136,33.9213,121,123,-118.1488,10,4,0,2002-03,41,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/10/03,LAL vs. SAC,SAC
Driving Dunk Shot,Dunk,389,20201136,34.0443,0,0,-118.2698,9,4,0,2002-03,57,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Layup Shot,Layup,400,20201136,34.0443,0,0,-118.2698,9,4,0,2002-03,8,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,414,20201136,33.9683,-184,76,-118.4538,8,4,0,2002-03,19,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,425,20201136,34.0783,167,-34,-118.1028,6,4,0,2002-03,26,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,432,20201136,33.8383,-41,206,-118.3108,5,4,0,2002-03,17,21,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,475,20201136,33.9533,33,91,-118.2368,1,4,0,2002-03,36,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,4/10/03,LAL vs. SAC,SAC
Driving Dunk Shot,Dunk,482,20201136,34.0443,0,0,-118.2698,0,4,0,2002-03,51,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/10/03,LAL vs. SAC,SAC
Jump Shot,Jump Shot,6,20201159,33.8893,159,155,-118.1108,11,1,0,2002-03,16,22,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,101,20201159,34.0213,71,23,-118.1988,0,1,0,2002-03,47,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,170,20201159,33.9633,171,81,-118.0988,4,2,0,2002-03,56,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/13/03,LAL @ POR,POR
Running Jump Shot,Jump Shot,183,20201159,33.9803,-75,64,-118.3448,3,2,0,2002-03,16,9,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,4/13/03,LAL @ POR,POR
Driving Layup Shot,Layup,204,20201159,34.0443,0,0,-118.2698,0,2,0,2002-03,52,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,226,20201159,34.0393,-194,5,-118.4638,11,3,0,2002-03,46,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,236,20201159,33.8913,-149,153,-118.4188,9,3,0,2002-03,36,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/13/03,LAL @ POR,POR
Turnaround Jump Shot,Jump Shot,254,20201159,33.9953,-49,49,-118.3188,8,3,0,2002-03,4,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/13/03,LAL @ POR,POR
Driving Layup Shot,Layup,279,20201159,34.0443,0,0,-118.2698,4,3,0,2002-03,39,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,349,20201159,33.9123,-113,132,-118.3828,10,4,0,2002-03,36,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,352,20201159,33.8733,87,171,-118.1828,9,4,0,2002-03,57,19,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/13/03,LAL @ POR,POR
Driving Layup Shot,Layup,358,20201159,34.0443,0,0,-118.2698,9,4,0,2002-03,18,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,375,20201159,33.8843,100,160,-118.1698,7,4,0,2002-03,5,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,414,20201159,33.9263,-159,118,-118.4288,2,4,0,2002-03,57,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,4/13/03,LAL @ POR,POR
Driving Layup Shot,Layup,417,20201159,34.0443,0,0,-118.2698,2,4,0,2002-03,19,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,427,20201159,33.8913,-200,153,-118.4698,1,4,0,2002-03,16,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,436,20201159,33.8323,-2,212,-118.2718,0,4,0,2002-03,34,21,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,442,20201159,33.9013,-210,143,-118.4798,0,4,0,2002-03,0,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/13/03,LAL @ POR,POR
Jump Shot,Jump Shot,25,20201176,33.8883,-44,156,-118.3138,8,1,0,2002-03,53,16,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,4/15/03,LAL vs. DEN,DEN
Turnaround Jump Shot,Jump Shot,30,20201176,33.9983,189,46,-118.0808,8,1,0,2002-03,31,19,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,4/15/03,LAL vs. DEN,DEN
Jump Shot,Jump Shot,81,20201176,33.8073,-112,237,-118.3818,4,1,0,2002-03,57,26,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/15/03,LAL vs. DEN,DEN
Turnaround Jump Shot,Jump Shot,96,20201176,33.9723,24,72,-118.2458,3,1,0,2002-03,13,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/15/03,LAL vs. DEN,DEN
Jump Shot,Jump Shot,112,20201176,33.8373,161,207,-118.1088,2,1,0,2002-03,18,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/15/03,LAL vs. DEN,DEN
Jump Shot,Jump Shot,115,20201176,33.9423,218,102,-118.0518,1,1,0,2002-03,55,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/15/03,LAL vs. DEN,DEN
Jump Shot,Jump Shot,133,20201176,33.9633,1,81,-118.2688,0,1,0,2002-03,34,8,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,4/15/03,LAL vs. DEN,DEN
Jump Shot,Jump Shot,158,20201176,34.0443,67,0,-118.2028,10,2,0,2002-03,45,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/15/03,LAL vs. DEN,DEN
Reverse Layup Shot,Layup,282,20201176,34.0443,0,0,-118.2698,10,3,0,2002-03,45,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/15/03,LAL vs. DEN,DEN
Jump Shot,Jump Shot,311,20201176,33.8523,-163,192,-118.4328,8,3,0,2002-03,13,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,4/15/03,LAL vs. DEN,DEN
Jump Shot,Jump Shot,377,20201176,33.8533,163,191,-118.1068,2,3,0,2002-03,57,25,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/15/03,LAL vs. DEN,DEN
Layup Shot,Layup,398,20201176,34.0443,0,0,-118.2698,1,3,0,2002-03,33,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/15/03,LAL vs. DEN,DEN
Jump Shot,Jump Shot,413,20201176,33.8303,144,214,-118.1258,0,3,0,2002-03,34,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/15/03,LAL vs. DEN,DEN
Jump Shot,Jump Shot,39,20201189,34.0113,-138,33,-118.4078,8,1,0,2002-03,7,14,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/16/03,LAL @ GSW,GSW
Jump Shot,Jump Shot,49,20201189,34.0373,159,7,-118.1108,7,1,0,2002-03,25,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,4/16/03,LAL @ GSW,GSW
Running Hook Shot,Hook Shot,62,20201189,34.0043,21,40,-118.2488,5,1,0,2002-03,49,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/16/03,LAL @ GSW,GSW
Fadeaway Jump Shot,Jump Shot,82,20201189,33.9573,-154,87,-118.4238,2,1,0,2002-03,53,17,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,4/16/03,LAL @ GSW,GSW
Running Dunk Shot,Dunk,116,20201189,34.0443,0,0,-118.2698,11,2,0,2002-03,48,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/16/03,LAL @ GSW,GSW
Jump Shot,Jump Shot,135,20201189,34.0093,-21,35,-118.2908,9,2,0,2002-03,49,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/16/03,LAL @ GSW,GSW
Jump Shot,Jump Shot,147,20201189,33.8603,176,184,-118.0938,8,2,0,2002-03,51,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,4/16/03,LAL @ GSW,GSW
Driving Layup Shot,Layup,222,20201189,34.0443,0,0,-118.2698,1,2,0,2002-03,33,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/16/03,LAL @ GSW,GSW
Jump Shot,Jump Shot,263,20201189,34.0443,-156,0,-118.4258,9,3,0,2002-03,23,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,4/16/03,LAL @ GSW,GSW
Slam Dunk Shot,Dunk,284,20201189,34.0443,0,0,-118.2698,7,3,0,2002-03,20,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/16/03,LAL @ GSW,GSW
